mesh,work_id,publication_year
D001321,2557810093,2016
D012559,2567247059,2016
D001289,2412666942,2016
D001321,2345926481,2016
D001523,2491626395,2016
D003865,2429821742,2016
D001289,2429821742,2016
D003865,2429821742,2016
D001289,2429821742,2016
D008607,2279265501,2016
D001289,2345043766,2016
D008607,2238968055,2016
D008607,2238968055,2016
D003865,2354869360,2016
D001289,2556607601,2016
D001008,2230285068,2016
D001321,2460076792,2016
D001068,2555911024,2016
D001008,2491064134,2016
D003865,2263804456,2016
D003865,2263804456,2016
D001289,2514398939,2016
D001068,2514398939,2016
D012559,2316128278,2016
D003865,2535539542,2016
D001714,2322749978,2016
D001068,2236941060,2016
D012559,2527103551,2016
D001714,2527430796,2016
D012559,2483966525,2016
D001321,2535992891,2016
D003865,2559686454,2016
D001523,2537878100,2016
D001008,2262630443,2016
D001523,2553217127,2016
D012559,2479708322,2016
D001523,2512067800,2016
D001714,2530749676,2016
D003865,2415584448,2016
D008607,2298746051,2016
D008607,2298746051,2016
D001523,2563304789,2016
D001523,2563304789,2016
D001523,2563304789,2016
D012559,2338299091,2016
D001714,2338299091,2016
D001523,2519735425,2016
D001714,2525224587,2016
D001523,2522647067,2016
D001289,2522647067,2016
D001289,2328300256,2016
D001008,2515154117,2016
D012559,2516383694,2016
D001714,2370080623,2016
D012559,2370080623,2016
D001523,2475278472,2016
D001523,2338068461,2016
D008607,2508718019,2016
D001523,2408805968,2016
D003865,2556554115,2016
D012559,2289061961,2016
D008607,2417622691,2016
D001523,2409075931,2016
D012559,2563443674,2016
D001008,2414405988,2016
D001523,2418261816,2016
D001289,2559146064,2016
D012559,2280484203,2016
D001523,2559607425,2016
D001714,2282374945,2016
D003865,2362284505,2016
D003865,2362284505,2016
D001289,2554310672,2016
D001289,2296715412,2016
D012559,2472589001,2016
D001321,2273769940,2016
D000856,2556159789,2016
D001523,2510023404,2016
D001523,2510023404,2016
D003865,2529321754,2016
D001008,2529321754,2016
D019955,2403419809,2016
D019955,2403419809,2016
D012559,2510541477,2016
D001714,2346768873,2016
D001523,2489620632,2016
D012559,2473635630,2016
D012559,2298845776,2016
D001523,2551725453,2016
D001523,2511173585,2016
D003865,2519158085,2016
D019964,2346532967,2016
D001714,2521376596,2016
D012559,2521376596,2016
D001008,2517777642,2016
D008607,2410360267,2016
D012559,4252810975,2016
D001289,2468136378,2016
D001289,2468136378,2016
D001714,2518987913,2016
D003865,2518987913,2016
D003865,2518987913,2016
D001714,2518987913,2016
D001714,2477785263,2016
D001289,2567098482,2016
D012559,2337461628,2016
D008607,2267186122,2016
D001289,2557375144,2016
D001523,2515867869,2016
D001523,2515867869,2016
D001523,2528803231,2016
D001008,2342062161,2016
D019964,2285307127,2016
D019964,2285307127,2016
D012559,2520338753,2016
D008607,2300742375,2016
D001714,2462983098,2016
D001714,2462983098,2016
D019964,2507540852,2016
D003865,2226389109,2016
D008607,2581716499,2016
D001321,2394944256,2016
D003865,2296507170,2016
D001714,2518890731,2016
D001714,2518890731,2016
D012559,2343182051,2016
D012559,2343182051,2016
D001523,2517886491,2016
D012559,2952547283,2016
D001321,2952547283,2016
D001714,2952547283,2016
D001289,2396792211,2016
D001523,2587159764,2016
D001523,2587159764,2016
D012559,2412722853,2016
D003865,2550664767,2016
D001523,2566999752,2016
D001523,2566999752,2016
D001289,2340487155,2016
D001714,2290542171,2016
D001321,2528627850,2016
D012559,2404420182,2016
D012559,2554886358,2016
D001008,2564541831,2016
D001523,2521344395,2016
D001008,2567268721,2016
D001289,2548565889,2016
D001523,2412233123,2016
D001068,2465953477,2016
D001068,2465953477,2016
D001289,2271409773,2016
D012559,2538449123,2016
D001321,2566561756,2016
D001321,2566561756,2016
D001523,2542294247,2016
D003865,2287707928,2016
D001523,2526993494,2016
D019964,2273932665,2016
D001714,2521620369,2016
D001523,2461717612,2016
D008607,2490296935,2016
D012559,2468144236,2016
D001068,2335806301,2016
D012559,2512786904,2016
D012559,2512786904,2016
D008607,2321448669,2016
D000856,2409580841,2016
D001008,2560527339,2016
D001523,2313973242,2016
D003865,2260115136,2016
D008607,2260115136,2016
D001523,2325146831,2016
D001714,2553558519,2016
D001523,2285044527,2016
D001008,2564996117,2016
D001523,2486874517,2016
D001008,2290090152,2016
D001289,1841100451,2016
D001523,2505456469,2016
D001523,2505456469,2016
D012559,2559525126,2016
D001523,2272721994,2016
D001008,2288389830,2016
D000856,2424950828,2016
D001289,2293577393,2016
D001289,2293577393,2016
D001523,2560625981,2016
D001289,2554775086,2016
D001289,2554775086,2016
D001068,2566937387,2016
D001289,2260503588,2016
D001714,2409342016,2016
D001714,2409342016,2016
D001289,2502540799,2016
D012559,2531898139,2016
D001523,2464449121,2016
D001008,2279437985,2016
D001008,2279437985,2016
D001714,2272407280,2016
D001523,2561818440,2016
D001523,2561818440,2016
D003865,2412709103,2016
D001714,2540275062,2016
D012559,2329814412,2016
D001321,2270074037,2016
D001321,2270074037,2016
D001008,2399006473,2016
D001008,2532754433,2016
D008607,2258410751,2016
D001008,2346590409,2016
D012559,2519894893,2016
D012559,2400590278,2016
D001523,2337230787,2016
D001714,2296340524,2016
D003865,2278640378,2016
D019964,2264097772,2016
D001321,2237079009,2016
D001289,2316191253,2016
D008607,2502980927,2016
D012559,2505301845,2016
D003865,2288117571,2016
D003865,2288117571,2016
D003865,2556091069,2016
D001289,2337777480,2016
D012559,2541203668,2016
D012559,2491054072,2016
D001523,2511893463,2016
D001523,2466534880,2016
D003865,2344915106,2016
D000856,2342997641,2016
D008607,2302260756,2016
D001321,2461387647,2016
D001008,2515669524,2016
D019964,2559393359,2016
D001523,1939550858,2016
D001523,2536453601,2016
D019955,2282554443,2016
D001289,2282554443,2016
D001523,2296303215,2016
D012559,2541960205,2016
D001523,2365931588,2016
D001714,2411759106,2016
D001523,2289726796,2016
D001714,2547281966,2016
D001714,2547281966,2016
D001523,2472360693,2016
D003865,2556029587,2016
D001714,2556029587,2016
D001714,2553997294,2016
D001008,2560542501,2016
D003865,2560542501,2016
D001289,2483178586,2016
D001289,2483178586,2016
D001068,2341666684,2016
D001714,2528333854,2016
D001321,4254626828,2016
D001321,4254626828,2016
D019964,2540779509,2016
D001523,2290117469,2016
D001523,2291338011,2016
D001523,2505342460,2016
D001523,2527250433,2016
D052018,2414271881,2016
D012559,2285099516,2016
D001523,2402550724,2016
D001523,2402550724,2016
D012559,2417219747,2016
D012559,2566899642,2016
D012559,2291815588,2016
D001289,2281417394,2016
D001008,2345525664,2016
D001523,2301049713,2016
