Cause ID	Cause Name	Level	Cause Outline	MESH	OpenAlex	Wikidata	Wikipedia	source_url_x	page_views	language	source_url_y	2016	2017	2018	2019	2020	2021
558	Mental disorders	2	B.6	D001523	C2776674806;C3019946834;C2908876842;C2992895887	Q12135	https://en.wikipedia.org/wiki/Mental_disorder	https://en.wikipedia.org/wiki/Mental_disorder	13519550.0	116	https://en.wikipedia.org/wiki/Mental_disorder	2229134.0	2246939.0	2230627.0	2446082.0	2237803.0	2128965.0
559	Schizophrenia	3	B.6.1	D012559	C2780187144	Q41112	https://en.wikipedia.org/wiki/Schizophrenia	https://en.wikipedia.org/wiki/Schizophrenia	60796911.0	106	https://en.wikipedia.org/wiki/Schizophrenia	12476344.0	12173977.0	10530974.0	9206209.0	8514743.0	7894664.0
567	Depressive disorders	3	B.6.2	D019964	C2777134132	Q188638	https://en.wikipedia.org/wiki/Mood_disorder	https://en.wikipedia.org/wiki/Mood_disorder	5588510.0	40	https://en.wikipedia.org/wiki/Mood_disorder	1020254.0	1078620.0	1037087.0	912413.0	813184.0	726952.0
568	Major depressive disorder	4	B.6.2.1	D003865	C2780051608	Q42844	https://en.wikipedia.org/wiki/Major_depressive_disorder	https://en.wikipedia.org/wiki/Major_depressive_disorder	24843299.0	91	https://en.wikipedia.org/wiki/Major_depressive_disorder	4725579.0	4716460.0	4426997.0	4172376.0	3541019.0	3260868.0
569	Dysthymia	4	B.6.2.2	D019263	C2992789181;C2911125582	Q427810	https://en.wikipedia.org/wiki/Dysthymia	https://en.wikipedia.org/wiki/Dysthymia	8950265.0	41	https://en.wikipedia.org/wiki/Dysthymia	1680833.0	1731925.0	1639446.0	1345781.0	1269595.0	1282685.0
570	Bipolar disorder	3	B.6.3	D001714	C2776174506;C3018341554;C3018654210;C3019648654;C2910604615	Q131755	https://en.wikipedia.org/wiki/Bipolar_disorder	https://en.wikipedia.org/wiki/Bipolar_disorder	48275355.0	87	https://en.wikipedia.org/wiki/Bipolar_disorder	9126412.0	7955523.0	8755565.0	7546896.0	8219045.0	6671914.0
571	Anxiety disorders	3	B.6.4	D001008	C2776317618;C2908919616	Q544006	https://en.wikipedia.org/wiki/Anxiety_disorder	https://en.wikipedia.org/wiki/Anxiety_disorder	13160610.0	64	https://en.wikipedia.org/wiki/Anxiety_disorder	2573137.0	2650117.0	2510506.0	2011278.0	1774199.0	1641373.0
572	Eating disorders	3	B.6.5	D001068	C2776394216	Q373822	https://en.wikipedia.org/wiki/Eating_disorder	https://en.wikipedia.org/wiki/Eating_disorder	7118979.0	51	https://en.wikipedia.org/wiki/Eating_disorder	1217206.0	1167543.0	1081069.0	1180589.0	1229910.0	1242662.0
573	Anorexia nervosa	4	B.6.5.1	D000856	C2777031586	Q131749	https://en.wikipedia.org/wiki/Anorexia_nervosa	https://en.wikipedia.org/wiki/Anorexia_nervosa	15604881.0	79	https://en.wikipedia.org/wiki/Anorexia_nervosa	3561021.0	3168353.0	2523574.0	2285897.0	2032524.0	2033512.0
574	Bulimia nervosa	4	B.6.5.2	D052018	C2777556793	Q64513386	https://en.wikipedia.org/wiki/Bulimia_nervosa	https://en.wikipedia.org/wiki/Bulimia_nervosa	16856081.0	60	https://en.wikipedia.org/wiki/Bulimia_nervosa	3580545.0	3149500.0	2803273.0	2534472.0	2839812.0	1948479.0
575	Autism spectrum disorders	3	B.6.6	D001321	C205778803;C2911054320;C2910888415	Q38404	https://en.wikipedia.org/wiki/Autism	https://en.wikipedia.org/wiki/Autism	50201890.0	104	https://en.wikipedia.org/wiki/Autism	10763442.0	10105914.0	8718304.0	7605482.0	6601729.0	6407019.0
578	Attention-deficit/hyperactivity disorder	3	B.6.7	D001289	C2780783007;C2994409691;C2910073837	Q181923	https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder	https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder	22680293.0	79	https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder	4271065.0	3877242.0	3301551.0	3457123.0	3436264.0	4337048.0
579	Conduct disorder	3	B.6.8	D019955	C2780135496	Q596474	https://en.wikipedia.org/wiki/Conduct_disorder	https://en.wikipedia.org/wiki/Conduct_disorder	2510333.0	22	https://en.wikipedia.org/wiki/Conduct_disorder	430570.0	456026.0	439955.0	427025.0	390610.0	366147.0
582	Idiopathic developmental intellectual disability	3	B.6.9	D008607	C551499885;C3019965780;C2993597288;C3019745381	Q183560	https://en.wikipedia.org/wiki/Intellectual_disability	https://en.wikipedia.org/wiki/Intellectual_disability	13198014.0	63	https://en.wikipedia.org/wiki/Intellectual_disability	2222616.0	2153608.0	2307930.0	2358049.0	2117669.0	2038142.0
